sessionID,command_id,distance,direction,anomalyScore,isAnomaly
CLI-20260723-015847,2,2839.24,3.06086,1278.51,1
CLI-20260723-015847,3,5098.79,-0.384742,4143.39,1
CLI-20260723-015847,4,762.197,1.54902,87.7356,1
CLI-20260723-015847,5,8802.85,-0.651508,12420.7,1
CLI-20260723-015847,6,568.08,-0.44372,67.8829,1
CLI-20260723-015847,7,0.222088,-1.08502,0.00419126,1
CLI-20260723-015847,8,0.267722,1.34267,0.0237548,1
CLI-20260723-015847,9,0.674616,-1.64422,0.00459321,1
CLI-20260723-015847,10,1.40514,2.64967,0.0218926,1
CLI-20260723-015847,11,1.54885,0.556666,0.00267222,1
CLI-20260723-015907,8,0.1244,0.227464,1.89431e-05,0
CLI-20260723-015907,9,1.71157,-2.1384,0.00019439,1
CLI-20260723-015907,10,0.700903,-1.60119,5.98733e-05,0
CLI-20260723-015921,4,1,2,7.33085e-06,0
CLI-20260723-015921,8,0.248972,-2.86584,2.33138e-05,0
CLI-20260723-015921,9,0.296187,2.55479,5.01258e-06,0
CLI-20260723-015921,10,0.889743,-0.144995,9.41608e-06,0
CLI-20260723-015921,11,0.12165,-1.22461,8.99123e-06,0
CLI-20260723-015936,2,1,2,7.33085e-06,0
CLI-20260723-015936,5,1,2,4.28248e-06,0
CLI-20260723-015936,6,1,2,3.94092e-06,0
CLI-20260723-015936,7,1.9231,-3.06275,0.000144695,0
CLI-20260723-015936,8,1.31,-0.412261,1.75304e-05,0
CLI-20260723-015936,9,1.60311,0.606356,6.53493e-06,0
CLI-20260723-015936,10,1.06519,-0.50582,9.95757e-06,0
CLI-20260723-015936,11,1.70232,0.913898,5.84617e-06,0
CLI-20260723-015951,7,0.812827,-2.68109,0.00021443,1
CLI-20260723-015951,8,1.16768,-1.02978,6.74034e-05,0
CLI-20260723-015951,11,0.075017,-0.930454,8.10072e-06,0
CLI-20260723-020006,4,1,2,7.33085e-06,0
CLI-20260723-020006,5,1,2,4.28248e-06,0
CLI-20260723-020006,7,1.984,2.91577,3.87545e-05,0
CLI-20260723-020006,8,0.505078,-0.101715,9.54545e-06,0
CLI-20260723-020006,10,0.916775,1.58116,5.28162e-06,0
CLI-20260723-020020,7,1.38568,2.85679,4.89762e-05,0
CLI-20260723-020020,8,0.050693,0.738806,9.6587e-05,0
CLI-20260723-020020,9,1.42875,-2.62068,0.000204024,1
CLI-20260723-020020,10,1.60168,-0.769949,5.82529e-05,0
CLI-20260723-020020,11,1.28843,-2.95852,4.63017e-05,0
CLI-20260723-020040,6,1,2,7.33085e-06,0
CLI-20260723-020040,7,0.729316,0.874167,0.000111639,0
CLI-20260723-020040,8,1.77357,-0.5087,3.08764e-05,0
CLI-20260723-020040,9,1.37415,-0.803559,0.000106054,0
CLI-20260723-020040,10,0.202834,2.38075,5.36455e-06,0
CLI-20260723-020106,2,1,2,7.33085e-06,0
CLI-20260723-020106,4,1,2,4.28248e-06,0
CLI-20260723-020106,7,1.55628,-1.31196,5.57083e-05,0
CLI-20260723-020106,8,0.768552,0.219412,5.95916e-06,0
CLI-20260723-020106,9,0.283154,-2.09355,3.63315e-06,0
CLI-20260723-020106,10,0.892755,1.51651,5.41325e-06,0
CLI-20260723-020106,11,0.090194,-0.315894,1.02564e-05,0
CLI-20260723-020123,7,1.74922,0.092483,3.4481e-05,0
CLI-20260723-020123,9,1.11364,-0.823094,0.000106297,0
CLI-20260723-020123,10,0.713158,-1.43413,2.08977e-05,0
CLI-20260723-020123,11,0.44638,-1.11805,2.48185e-05,0
CLI-20260723-020140,4,1,2,7.33085e-06,0
CLI-20260723-020140,7,1.52832,2.45714,1.4289e-05,0
CLI-20260723-020140,9,0.50031,0.628959,8.6858e-06,0
CLI-20260723-020140,11,0.310262,2.45365,5.03742e-06,0
CLI-20260723-020239,2,1,2,7.33085e-06,0
CLI-20260723-020239,3,16.5843,0,0.000218481,1
CLI-20260723-020239,4,-3.01015,1.0689,0.00037504,1
CLI-20260723-020239,8,-2.90446,-0.604993,0.00162669,1
CLI-20260723-020239,9,0.865124,1.44332,6.01477e-05,0
