timestamp,source,sessionID,current_function,current_command,filename,parent_id,current_id,x,y,distance,direction,distance_moved,instruction_pointer,stack_pointer,frame_pointer,rax,rbx,rcx,rdx,rsi,obstructed?,call_depth,response_time(ns)
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,9,1.56967,2.01309,0.23829,-1.73904,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,26,54ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,9,1.52781,1.76662,0.23829,-1.73904,0.25,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,success,27,5142286ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,10,1.52781,1.76662,0.954689,1.87536,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,29,74ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,10,1.22793,2.7206,0.954689,1.87536,1,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,success,30,8221096ns
20260723-001109,client,CLI-20260723-001109,move_robot()BEFORE_SERVICE_CALL,move, ,1,11,1.22793,2.7206,1.64249,-1.69226,0,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,n/a,32,68ns
20260723-001109,client,CLI-20260723-001109,move_robot()AFTER_SERVICE_CALL,move, ,1,11,1.02801,1.08276,1.64249,-1.69226,1.65,99976524101395,140725596100040,140725596100048,140725596100192,140725596100192,138367768060032,3,140725596101224,success,33,6430653ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,2,0,0,0.789907,2.70478,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,5,52ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,2,0,0,0.789907,2.70478,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,6,87454874ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,3,0,0,1.25609,2.56462,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,8,54ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,3,0,0,1.25609,2.56462,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,9,21460378ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,4,0,0,0.674563,-2.40224,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,11,58ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,4,0,0,0.674563,-2.40224,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,12,2656490ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,5,0,0,0.155382,2.66752,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,14,68ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,5,0,0,0.155382,2.66752,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,15,2846387ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,6,0,0,1.11759,-2.05428,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,17,55ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,6,0,0,1.11759,-2.05428,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,18,3708131ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,7,0,0,1.34665,0.379533,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,20,160ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,7,1.25393,0.500157,1.34665,0.379533,1.35,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,success,21,2732418ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,8,1.25393,0.500157,1.4594,-0.904139,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,23,42ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,8,1.62495,0.0286213,1.4594,-0.904139,0.6,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,24,1907004ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,9,1.62495,0.0286213,0.710859,0.781416,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,26,57ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,9,2.15739,0.556835,0.710859,0.781416,0.75,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,success,27,2555651ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,10,2.15739,0.556835,0.571585,-2.70869,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,29,57ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,10,1.61274,0.305129,0.571585,-2.70869,0.6,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,success,30,9186881ns
20260723-001125,client,CLI-20260723-001124,move_robot()BEFORE_SERVICE_CALL,move, ,1,11,1.61274,0.305129,1.57349,-1.279,0,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,n/a,32,90ns
20260723-001125,client,CLI-20260723-001124,move_robot()AFTER_SERVICE_CALL,move, ,1,11,1.69904,0.0178097,1.57349,-1.279,0.3,108633729570579,140732463872648,140732463872656,140732463872800,140732463872800,123249042776192,3,140732463873832,obstructed,33,5649576ns
20260723-001143,client,CLI-20260723-001140,move_robot()BEFORE_SERVICE_CALL,move, ,1,2,0,0,0.441751,1.89515,0,102299698104083,140725213651704,140725213651712,140725213651856,140725213651856,128470171115648,3,140725213652888,n/a,5,49ns
20260723-001143,client,CLI-20260723-001140,move_robot()AFTER_SERVICE_CALL,move, ,1,2,0,0,0.441751,1.89515,0,102299698104083,140725213651704,140725213651712,140725213651856,140725213651856,128470171115648,3,140725213652888,obstructed,6,114195761ns
20260723-001143,client,CLI-20260723-001140,move_robot()BEFORE_SERVICE_CALL,move, ,1,3,0,0,0.871066,-1.00753,0,102299698104083,140725213651704,140725213651712,140725213651856,140725213651856,128470171115648,3,140725213652888,n/a,8,73ns
